date,Source,UNITONBT,SO2TONS,HEATINBA,NH3TONS,UNITONBA,HEAT_QA,HEATINBT,GFLOW_BA,NOXTONS,LOADMWBA,COTONS,LOADMWBT,Emissions_Load_SO2TONS,Emissions_Load_NOXTONS,Emissions_Load_COTONS,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres
1/16/2023,LAKE-2,1125.0,0.00398262,669.76,0.039556663,56.25,13395.2,13395.2,6517.7241,0.073257718,74.44021428,0.035780959,1488.804286,5.3500920685420676e-05,0.0009841148189666388,0.00048066706075580625,11.1,8.3,11.7,1.0,0.0,271,15.5,1012.6
1/16/2023,LAKE-3,918.0,0.003013994,640.7625,0.023147226,57.375,10252.2,10252.2,6235.568829,0.057621701,68.14066916,0.020770345,1090.250707,4.4231940149030374e-05,0.0008456286342697841,0.0003048156887222444,11.1,8.3,11.7,1.0,0.0,271,15.5,1012.6
1/16/2023,LAKE-4,242.0,0.000707475,501.46,0.005444703,48.4,2507.3,2507.3,4880.126969,0.015486536,53.75010614,0.010393373,268.7505307,1.316229958983296e-05,0.00028812103104807005,0.00019336469723294948,11.1,8.3,11.7,1.0,0.0,271,15.5,1012.6
1/17/2022,LAKE-1,326.0,0.001119104,547.5,0.00124024,46.57142857,3832.5,3832.5,5270.456118,0.020314144,60.36679134,0.00187864,422.5675394,1.8538404562484405e-05,0.0003365119057858476,3.112042164737656e-05,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2
1/17/2022,LAKE-3,746.0,0.002343443,578.2428571,0.021918978,53.28571429,8095.4,8095.4,5566.437876,0.046562306,63.35367331,0.007814298,886.9514264,3.698985200957719e-05,0.000734958267883899,0.00012334403976488228,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2
1/17/2022,LAKE-4,1440.0,0.00527367,732.4541667,0.019279579,60.0,17578.9,17578.9,7050.897453,0.100808022,84.34816082,0.048393,2024.35586,6.252264363243291e-05,0.0011951419096751326,0.000573729166463644,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2
1/17/2023,LAKE-1,1440.0,0.00507339,704.6375,0.032957963,60.0,16911.3,16911.3,6857.088634,0.093120134,78.88641505,0.03694545,1893.273961,6.431259421263307e-05,0.001180433081424455,0.0004683372919986684,10.7,6.7,13.9,1.0,0.0,235,13.7,1006.8
1/17/2023,LAKE-2,1440.0,0.00503463,699.2541667,0.046577751,60.0,16782.1,16782.1,6804.741872,0.092748088,77.5049067,0.04727345,1860.117761,6.495885505014097e-05,0.0011966737584628304,0.0006099413832337404,10.7,6.7,13.9,1.0,0.0,235,13.7,1006.8
1/17/2023,LAKE-3,1134.0,0.004031076,709.5736842,0.031757958,59.68421053,13481.9,13481.9,6905.136673,0.077606688,77.18955136,0.01958108,1466.601476,5.222307849931258e-05,0.001005404055764679,0.0002536752663411257,10.7,6.7,13.9,1.0,0.0,235,13.7,1006.8
1/18/2022,LAKE-1,362.0,0.001146602,574.0285714,0.003837489,51.71428571,4018.2,4018.2,5525.885236,0.021763375,62.6677161,0.004154416,438.6740127,1.829653402671236e-05,0.0003472820832543473,6.629276218349371e-05,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4
